+--------------------------+------------+--------+----------+---------+----------+
| Country                  | Population | Phone  | GDP      | Area    | Key      |
+--------------------------+------------+--------+----------+---------+----------+
| Afghanistan              |   42239854 | +93    |    14.00 |  652230 |   654859 |
| Albania                  |    2832439 | +355   |    19.00 |   28748 |   769136 |
| Angola                   |   36684202 | +244   |   124.00 | 1246700 |   812523 |
| Argentina                |   45773884 | +54    |   621.80 | 2780400 |   890987 |
| Armenia                  |    2777970 | +374   |    19.50 |   29743 |   895361 |
| Australia                |   26439111 | +61    |  1687.70 | 7692024 |   959193 |
| Bahrain                  |    1485509 | +973   |    44.40 |     765 |  1088884 |
| Bangladesh               |  172954319 | +880   |   446.30 |  147570 |  1092972 |
| Barbados                 |     281995 | +1-246 |     5.70 |     430 |  1095742 |
| Belarus                  |    9498238 | +375   |    68.20 |  207600 |  1170090 |
| Belize                   |     410825 | +501   |     3.00 |   22966 |  1170314 |
| Bhutan                   |     787941 | +975   |     3.00 |   38394 |  1236196 |
| Bolivia                  |   12388571 | +591   |    46.30 | 1098581 |  1367140 |
| Bosnia and Herzegovina   |    3210847 | +387   |    24.50 |   51197 |  1372365 |
| Burkina Faso             |   23251485 | +226   |    20.80 |  274200 |  1489653 |
| Canada                   |   38781291 | +1     |  2117.80 | 9984670 |  1624243 |
| Central African Republic |    5742315 | +236   |     2.40 |  622984 |  1703502 |
| Colombia                 |   52085168 | +57    |   363.80 | 1141748 |  1898734 |
| Croatia                  |    4008617 | +385   |    78.90 |   56594 |  1959599 |
| Denmark                  |    5910913 | +45    |   420.80 |   43094 |  2234737 |
| Dominica                 |      73040 | +1-767 |     0.70 |     751 |  2430743 |
| Egypt                    |  112716598 | +20    |   476.70 | 1010408 |  2813663 |
| Eritrea                  |    3748902 | +291   |     2.10 |  117600 |  3018618 |
| Fiji                     |     936375 | +679   |     5.50 |   18274 |  3373326 |
| Finland                  |    5545475 | +358   |   305.70 |  338424 |  3376324 |
| Gabon                    |    2436566 | +241   |    19.30 |  267667 |  3741647 |
| Georgia                  |    3728282 | +995   |    30.00 |   69700 |  3829930 |
| Ghana                    |   34121985 | +233   |    76.60 |  238533 |  3878659 |
| Greece                   |   10341277 | +30    |   242.40 |  131957 |  4078164 |
| Grenada                  |     126183 | +1-473 |     1.30 |     344 |  4078405 |
| Haiti                    |   11724763 | +509   |    25.90 |   27750 |  4278321 |
| Indonesia                |  277534122 | +62    |  1417.40 | 1904569 |  5061866 |
| Jamaica                  |    2825544 | +1-876 |    18.80 |   10991 |  5343606 |
| Kazakhstan               |   19606633 | +7     |   245.70 | 2724900 |  5884526 |
| Kiribati                 |     133515 | +686   |     0.20 |     811 |  6036365 |
| Laos                     |    7633779 | +856   |    15.50 |  236800 |  6408423 |
| Liechtenstein            |      39584 | +423   |     6.60 |     160 |  6558173 |
| Luxembourg               |     654768 | +352   |    89.10 |    2586 |  6808279 |
| Madagascar               |   30325740 | +261   |    15.80 |  587041 |  6931366 |
| Malta                    |     535064 | +356   |    19.30 |     316 |  6937705 |
| Mauritius                |    1265740 | +230   |    14.90 |    2040 |  6944220 |
| Moldova                  |    2543500 | +373   |    16.00 |   33846 |  7212849 |
| Montenegro               |     626485 | +382   |     6.80 |   13812 |  7214729 |
| North Macedonia          |    2085679 | +389   |    15.80 |   25713 |  7749089 |
| Pakistan                 |  240485658 | +92    |   340.60 |  881912 |  8531020 |
| Palau                    |      18055 | +680   |     0.30 |     459 |  8531535 |
| Papua New Guinea         |   10329931 | +675   |    31.70 |  462840 |  8534971 |
| Qatar                    |    2716391 | +974   |   235.50 |   11586 |  9068805 |
| Samoa                    |     225681 | +685   |     0.90 |    2842 | 10126945 |
| Serbia                   |    7149077 | +381   |    65.70 |   88361 | 10208979 |
| Slovenia                 |    2119834 | +386   |    68.40 |   20273 | 10345109 |
| South Africa             |   59308690 | +27    |   399.00 | 1221037 | 10408481 |
| Sudan                    |   48109006 | +249   |    25.20 | 1861484 | 10513679 |
| Tajikistan               |   10143544 | +992   |    12.80 |  143100 | 10656047 |
| Trinidad and Tobago      |    1531044 | +1-868 |    27.90 |    5130 | 10990062 |
| Tunisia                  |   12458223 | +216   |    51.30 |  163610 | 11052631 |
| Turkey                   |   85816199 | +90    |  1154.60 |  783562 | 11055587 |
| Turkmenistan             |    6516100 | +993   |    81.80 |  488100 | 11055595 |
| Ukraine                  |   36744634 | +380   |   173.40 |  603500 | 11389932 |
| United States            |  339996563 | +1     | 26854.00 | 9833517 | 11442929 |
| Uzbekistan               |   36288300 | +998   |    90.50 |  447400 | 11673623 |
+--------------------------+------------+--------+----------+---------+----------+
