Uzbekistan	36288300	+998	90.5	447400
Fiji	936375	+679	5.5	18274
Luxembourg	654768	+352	89.1	2586
Madagascar	30325740	+261	15.8	587041
Canada	38781291	+1	2117.8	9984670
Kiribati	133515	+686	0.2	811
Tajikistan	10143544	+992	12.8	143100
Egypt	112716598	+20	476.7	1010408
Belize	410825	+501	3.0	22966
Malta	535064	+356	19.3	316
Palau	18055	+680	0.3	459
Angola	36684202	+244	124.0	1246700
Greece	10341277	+30	242.4	131957
Slovenia	2119834	+386	68.4	20273
Papua New Guinea	10329931	+675	31.7	462840
Burkina Faso	23251485	+226	20.8	274200
Jamaica	2825544	+1-876	18.8	10991
Samoa	225681	+685	0.9	2842
North Macedonia	2085679	+389	15.8	25713
Dominica	73040	+1-767	0.7	751
Bangladesh	172954319	+880	446.3	147570
Montenegro	626485	+382	6.8	13812
Argentina	45773884	+54	621.8	2780400
Barbados	281995	+1-246	5.7	430
Colombia	52085168	+57	363.8	1141748
Turkey	85816199	+90	1154.6	783562
Liechtenstein	39584	+423	6.6	160
Bhutan	787941	+975	3.0	38394
South Africa	59308690	+27	399.0	1221037
Serbia	7149077	+381	65.7	88361
Grenada	126183	+1-473	1.3	344
Bahrain	1485509	+973	44.4	765
Turkmenistan	6516100	+993	81.8	488100
Belarus	9498238	+375	68.2	207600
Afghanistan	42239854	+93	14.0	652230
Georgia	3728282	+995	30.0	69700
United States	339996563	+1	26854.0	9833517
Laos	7633779	+856	15.5	236800
Eritrea	3748902	+291	2.1	117600
Ghana	34121985	+233	76.6	238533
Bolivia	12388571	+591	46.3	1098581
Gabon	2436566	+241	19.3	267667
Moldova	2543500	+373	16.0	33846
Indonesia	277534122	+62	1417.4	1904569
Armenia	2777970	+374	19.5	29743
Mauritius	1265740	+230	14.9	2040
Qatar	2716391	+974	235.5	11586
Denmark	5910913	+45	420.8	43094
Kazakhstan	19606633	+7	245.7	2724900
Trinidad and Tobago	1531044	+1-868	27.9	5130
Australia	26439111	+61	1687.7	7692024
Haiti	11724763	+509	25.9	27750
Bosnia and Herzegovina	3210847	+387	24.5	51197
Central African Republic	5742315	+236	2.4	622984
Ukraine	36744634	+380	173.4	603500
South Sudan	11088176	+211	6.0	644329
Finland	5545475	+358	305.7	338424
Tunisia	12458223	+216	51.3	163610
Sudan	48109006	+249	25.2	1861484
Croatia	4008617	+385	78.9	56594
Albania	2832439	+355	19.0	28748
Pakistan	240485658	+92	340.6	881912
