1	Afghanistan	42,239,854	+93	14.0	652,230
2	Albania	2,832,439	+355	19.0	28,748
3	Algeria	45,606,480	+213	193.0	2,381,741
4	Andorra	80,088	+376	3.4	468
5	Angola	36,684,202	+244	124.0	1,246,700
6	Antigua and Barbuda	94,298	+1-268	1.8	442
7	Argentina	45,773,884	+54	621.8	2,780,400
8	Armenia	2,777,970	+374	19.5	29,743
9	Australia	26,439,111	+61	1,687.7	7,692,024
10	Austria	9,104,772	+43	479.8	83,871
11	Azerbaijan	10,412,651	+994	78.7	86,600
12	Bahamas	412,623	+1-242	13.4	13,943
13	Bahrain	1,485,509	+973	44.4	765
14	Bangladesh	172,954,319	+880	446.3	147,570
15	Barbados	281,995	+1-246	5.7	430
16	Belarus	9,498,238	+375	68.2	207,600
17	Belgium	11,686,140	+32	627.4	30,528
18	Belize	410,825	+501	3.0	22,966
19	Benin	13,712,828	+229	19.9	112,622
20	Bhutan	787,941	+975	3.0	38,394
21	Bolivia	12,388,571	+591	46.3	1,098,581
22	Bosnia and Herzegovina	3,210,847	+387	24.5	51,197
23	Botswana	2,675,352	+267	20.4	581,730
24	Brazil	216,422,446	+55	2,126.8	8,515,767
25	Brunei	452,524	+673	16.7	5,765
26	Bulgaria	6,447,710	+359	103.1	110,879
27	Burkina Faso	23,251,485	+226	20.8	274,200
28	Burundi	13,238,559	+257	3.6	27,834
29	Cabo Verde	598,682	+238	2.4	4,033
30	Cambodia	16,944,826	+855	30.9	181,035
31	Cameroon	28,647,293	+237	49.1	475,442
32	Canada	38,781,291	+1	2,117.8	9,984,670
33	Central African Republic	5,742,315	+236	2.4	622,984
34	Chad	18,523,165	+235	12.6	1,284,000
35	Chile	19,629,590	+56	344.4	756,102
36	China	1,425,671,352	+86	17,700.9	9,596,961
37	Colombia	52,085,168	+57	363.8	1,141,748
38	Comoros	852,075	+269	1.3	1,861
39	Congo (DRC)	102,262,808	+243	67.5	2,344,858
40	Congo (Republic)	6,106,869	+242	16.2	342,000
41	Costa Rica	5,212,173	+506	85.6	51,100
42	Côte d'Ivoire	28,873,034	+225	79.4	322,463
43	Croatia	4,008,617	+385	78.9	56,594
44	Cuba	11,194,449	+53	107.4	109,884
45	Cyprus	1,260,138	+357	32.0	9,251
46	Czechia	10,495,295	+420	335.2	78,867
47	Denmark	5,910,913	+45	420.8	43,094
48	Djibouti	1,136,455	+253	3.6	23,200
49	Dominica	73,040	+1-767	0.7	751
50	Dominican Republic	11,332,972	+1-809, +1-829, +1-849	120.6	48,671
51	Ecuador	18,190,484	+593	118.7	283,561
52	Egypt	112,716,598	+20	476.7	1,010,408
53	El Salvador	6,364,943	+503	37.2	21,041
54	Equatorial Guinea	1,714,671	+240	11.8	28,051
55	Eritrea	3,748,902	+291	2.1	117,600
56	Estonia	1,			
